OMRÅDE,TID,ALDER,INDHOLD
København,2020K4,I alt,637936
Frederiksberg,2020K4,I alt,104351
Dragør,2020K4,I alt,14497
Tårnby,2020K4,I alt,42757
Albertslund,2020K4,I alt,27500
Ballerup,2020K4,I alt,48978
Brøndby,2020K4,I alt,35215
Gentofte,2020K4,I alt,74623
Gladsaxe,2020K4,I alt,69203
Glostrup,2020K4,I alt,23342
Herlev,2020K4,I alt,28914
Hvidovre,2020K4,I alt,53448
Høje-Taastrup,2020K4,I alt,51238
Ishøj,2020K4,I alt,23059
Lyngby-Taarbæk,2020K4,I alt,56624
Rødovre,2020K4,I alt,41025
Vallensbæk,2020K4,I alt,16483
Allerød,2020K4,I alt,25871
Egedal,2020K4,I alt,43471
Fredensborg,2020K4,I alt,40980
Frederikssund,2020K4,I alt,45489
Furesø,2020K4,I alt,40955
Gribskov,2020K4,I alt,41110
Halsnæs,2020K4,I alt,31518
Helsingør,2020K4,I alt,63047
Hillerød,2020K4,I alt,51261
Hørsholm,2020K4,I alt,24919
Rudersdal,2020K4,I alt,56873
Bornholm,2020K4,I alt,39519
Christiansø,2020K4,I alt,90
Greve,2020K4,I alt,50561
Køge,2020K4,I alt,61323
Lejre,2020K4,I alt,28133
Roskilde,2020K4,I alt,88758
Solrød,2020K4,I alt,23394
Faxe,2020K4,I alt,36605
Guldborgsund,2020K4,I alt,60309
Holbæk,2020K4,I alt,71812
Kalundborg,2020K4,I alt,48415
Lolland,2020K4,I alt,40618
Næstved,2020K4,I alt,83049
Odsherred,2020K4,I alt,32857
Ringsted,2020K4,I alt,34872
Slagelse,2020K4,I alt,79106
Sorø,2020K4,I alt,29977
Stevns,2020K4,I alt,22975
Vordingborg,2020K4,I alt,45365
Assens,2020K4,I alt,40791
Faaborg-Midtfyn,2020K4,I alt,51562
Kerteminde,2020K4,I alt,23833
Langeland,2020K4,I alt,12350
Middelfart,2020K4,I alt,39026
Nordfyns,2020K4,I alt,29586
Nyborg,2020K4,I alt,31918
Odense,2020K4,I alt,205881
Svendborg,2020K4,I alt,58355
Ærø,2020K4,I alt,5958
Billund,2020K4,I alt,26529
Esbjerg,2020K4,I alt,115498
Fanø,2020K4,I alt,3449
Fredericia,2020K4,I alt,51281
Haderslev,2020K4,I alt,55446
Kolding,2020K4,I alt,93092
Sønderborg,2020K4,I alt,73888
Tønder,2020K4,I alt,37122
Varde,2020K4,I alt,49671
Vejen,2020K4,I alt,42767
Vejle,2020K4,I alt,116665
Aabenraa,2020K4,I alt,58515
Favrskov,2020K4,I alt,48294
Hedensted,2020K4,I alt,46690
Horsens,2020K4,I alt,91764
Norddjurs,2020K4,I alt,36906
Odder,2020K4,I alt,22917
Randers,2020K4,I alt,98026
Samsø,2020K4,I alt,3666
Silkeborg,2020K4,I alt,94892
Skanderborg,2020K4,I alt,63144
Syddjurs,2020K4,I alt,43231
Aarhus,2020K4,I alt,353445
Herning,2020K4,I alt,89240
Holstebro,2020K4,I alt,58617
Ikast-Brande,2020K4,I alt,41376
Lemvig,2020K4,I alt,19594
Ringkøbing-Skjern,2020K4,I alt,56157
Skive,2020K4,I alt,45499
Struer,2020K4,I alt,20869
Viborg,2020K4,I alt,96539
Brønderslev,2020K4,I alt,36183
Frederikshavn,2020K4,I alt,59187
Hjørring,2020K4,I alt,64213
Jammerbugt,2020K4,I alt,38288
Læsø,2020K4,I alt,1767
Mariagerfjord,2020K4,I alt,41543
Morsø,2020K4,I alt,20135
Rebild,2020K4,I alt,30438
Thisted,2020K4,I alt,43217
Vesthimmerlands,2020K4,I alt,36458
Aalborg,2020K4,I alt,219310
